Id	Label
620	尖
621	小
622	&CDP-8BC4;
623	㚾
624	刪
625	冊
626	䎥
627	谷
628	㱢
629	歹
630	良
631	悎
632	告
633	蹲
634	尊
635	㰹
636	咸
637	纷
638	分
639	鷟
640	旟
641	柗
642	&CDP-8BFD;
643	低
644	氐
645	桏
646	邛
647	桞
648	邜
649	徉
650	碿
651	屑
652	䇗
653	梛
654	那
655	淢
656	或
657	&CDP-8BC5;
658	梆
659	邦
660	貌
661	豸
662	&CDP-8DA3;
663	燻
664	熏
665	祙
666	觌
667	见
668	轓
669	車
670	番
671	棇
672	忩
673	咳
674	亥
675	哿
676	加
677	祼
678	騻
679	爽
680	&CDP-8BC6;
681	檖
682	遂
683	氹
684	乙
685	水
686	衚
687	行
688	胡
689	鱔
690	删
691	册
692	綟
693	戾
694	null
695	檛
696	過
697	肪
698	⺼
699	醩
700	曹
701	檤
702	道
703	䇿
704	橽
705	達
706	䌚
707	粟
708	軵
709	付
710	擽
711	樂
712	肵
713	鈤
714	&CDP-8BC7;
715	瑓
716	悼
717	苞
718	包
719	臤
720	諒
721	京
722	㿶
723	旁
724	俅
725	求
726	饮
727	&CDP-8976;
728	㰱
729	?
730	櫏
731	遷
732	詆
733	氐
734	扯
735	止
736	稖
737	咅
738	垭
739	舔
740	捗
741	步
742	孬
743	不
744	好
745	坘
746	互
747	䎘
748	肅
749	廰
750	聴
751	圩
752	頨
753	頁
754	虩
755	?
756	㥏
757	典
758	籃
759	監
760	廳
761	聽
762	㡽
763	聿
764	擨
765	歋
766	舯
767	舟
768	擹
769	歎
770	錁
771	埡
772	硒
773	西
774	磹
775	覃
776	寅
777	宀
778	&CDP-8CE6;
779	硯
780	乔
781	夭
782	&CDP-89AB;
783	撳
784	欽
785	犀
786	尸
787	&CDP-8D6F;
788	鳡
789	感
790	摗
791	欶
792	?
793	秀
794	有
795	?
796	㪺
797	?
798	?
799	舴
800	舣
801	义
802	塖
803	乘
804	蜸
805	別
806	?
807	垀
808	乎
809	棌
810	采
811	嘉
812	壴
813	炦
814	犮
815	秎
816	㯀
817	悔
818	鏪
819	郫
820	㮔
821	重
822	梩
823	里
824	㨡
825	圂
826	鋉
827	地
828	&CDP-8BCB;
829	宅
830	乇
831	䏞
832	晔
833	华
834	欧
835	籪
836	斷
837	䂑
838	此
839	㱘
840	厭
841	葌
842	姦
843	覥
844	㬿
845	敦
846	攊
847	錬
848	㼢
849	?
850	?
851	?
852	坵
853	丘
854	忺
855	蝁
856	鈅
857	坥
858	惞
859	觍
860	檒
861	風
862	圷
863	下
864	坏
865	&J83-3453;
866	䊉
867	宋
868	纅
869	樂
870	律
871	㓎
872	冫
873	&CDP-8D4C;
874	鱻
875	null
876	掴
877	国
878	砓
879	殳
880	蓏
881	㼌
882	鈢
883	㵇
884	甜
885	坍
886	丹
887	众
888	人
889	从
890	煡
891	建
892	瘓
893	奐
894	㖜
895	&CDP-8BAA;
896	null
897	鉢
898	雪
899	彐
900	皪
901	白
902	䄲
903	内
904	㨥
905	納
906	㜪
907	新
908	掀
909	扻
910	硎
911	刑
912	鲥
913	时
914	咵
915	null
916	尋
917	&CDP-897C;
918	&CDP-8CFA;
919	寸
920	怔
921	贁
922	null
923	梄
924	楢
925	酋
926	醂
927	煖
928	爰
929	堯
930	垚
931	兀
932	爝
933	爵
934	訣
935	夬
936	詇
937	央
938	峻
939	夋
940	浛
941	含
942	㵱
943	漂
944	廖
945	翏
946	浖
947	寽
948	梷
949	null
950	null
951	?
952	㡕
953	巾
954	英
955	錇
956	㘷
957	靈
958	霝
959	巫
960	圵
961	上
962	賘
963	庒
964	铹
965	劳
966	蔗
967	鶟
968	突
969	圢
970	丁
971	䄻
972	㟮
973	蟂
974	梟
975	船
976	null
977	絡
978	各
979	摻
980	參
981	蹍
982	展
983	罹
984	⺲
985	篴
986	鍷
987	奎
988	篭
989	竜
990	鳾
991	麕
992	鹿
993	虨
994	?
995	?
996	䉲
997	彌
998	宮
999	呂
1000	捄
1001	譅
1002	&CDP-8AE1;
1003	喇
1004	驯
1005	川
1006	魠
1007	剎
1008	?
1009	舑
1010	冉
1011	襩
1012	賣
1013	駎
1014	㚷
1015	瘺
1016	&C4-3135;
1017	㳄
1018	嶁
1019	婁
1020	朞
1021	其
1022	廫
1023	膠
1024	䆆
1025	喿
1026	腞
1027	彖
1028	挱
1029	沙
1030	㦽
1031	灎
1032	澧
1033	盍
1034	聸
1035	鎪
1036	叟
1037	短
1038	豆
1039	温
1040	㙳
1041	鮶
1042	君
1043	薾
1044	爾
1045	膲
1046	焦
1047	沚
1048	螟
1049	冥
1050	匘
1051	匕
1052	&CDP-8CE8;
1053	瑆
