Id	Label
592	&GT-K03992;
593	善
594	羊
595	像
596	象
597	哛
598	苗
599	单
600	参
601	哻
602	咰
603	旬
604	&CDP-8BC7;
605	堃
606	方
607	侸
608	豆
609	務
610	矛
611	&CDP-8C64;
612	呾
613	旦
614	凂
615	吪
616	僼
617	豊
618	囥
619	奻
620	英
621	嘅
622	既
623	呒
624	无
625	囝
626	子
627	囈
628	藝
629	俅
630	求
631	囔
632	俗
633	&CDP-8C58;
634	拿
635	埢
636	&CDP-8BFA;
637	㔾
638	奕
639	垭
640	亚
641	促
642	足
643	丵
644	业
645	冺
646	民
647	坘
648	互
649	&CDP-89A6;
650	圩
651	于
652	夥
653	果
654	夕
655	兢
656	古
657	&CDP-88FD;
658	勝
659	&MJ013520;
660	哚
661	埡
662	亞
663	咮
664	朱
665	&CDP-8DA7;
666	塁
667	田
668	&CDP-89AE;
669	呠
670	本
671	啳
672	壷
673	&CDP-8A49;
674	味
675	未
676	乔
677	&CDP-89AB;
678	匃
679	?
680	嘲
681	朝
682	午
683	茶
684	冇
685	?
686	茸
687	嗍
688	朔
689	埕
690	王
691	&GT-39726;
692	塖
693	乘
694	別
695	?
696	䍃
697	唽
698	析
699	兗
700	荅
701	厄
702	垀
703	嘉
704	壴
705	荒
706	凒
707	地
708	儑
709	&CDP-8CE3;
710	&CDP-8DA9;
711	修
712	冰
713	水
714	剡
715	佼
716	圠
717	⺃
718	荷
719	噞
720	&CDP-8AFC;
721	主
722	坵
723	丘
724	垌
725	?
726	?
727	坥
728	且
729	偾
730	贲
731	埾
732	null
733	白
734	&CDP-895F;
735	&HD-JA-5A5C;
736	圷
737	下
738	null
739	幺
740	凢
741	坏
742	侦
743	贞
744	债
745	责
746	堙
747	嚗
748	暴
749	坍
750	丹
751	众
752	咄
753	屮
754	凵
755	嗤
756	蚩
757	儹
758	贊
759	劜
760	唚
761	&CDP-8D4C;
762	團
763	專
764	圑
765	尃
766	咵
767	刑
768	开
769	妝
770	哊
771	有
772	劂
773	厥
774	䏌
775	喱
776	噲
777	會
778	噆
779	朁
780	图
781	&CDP-8971;
782	奢
783	囤
784	屯
785	嘬
786	最
787	噣
788	蜀
789	噌
790	曾
791	嘈
792	曹
793	囘
794	巳
795	堯
796	兀
797	刺
798	朿
799	喝
800	曷
801	哽
802	更
803	埻
804	凼
805	圵
806	上
807	妈
808	马
809	刹
810	杀
811	圢
812	丁
813	嗓
814	桑
815	哘
816	行
817	奝
818	妆
819	丬
820	塦
821	陣
822	俹
823	&GT-K01418;
824	勁
825	喇
826	束
827	仾
828	劋
829	喿
830	伍
831	五
832	剎
833	?
834	?
835	伃
836	予
837	仁
838	倳
839	事
840	null
841	妎
842	具
843	凟
844	卼
845	厃
846	夐
847	&CDP-8CAF;
848	null
849	圏
850	巻
851	葉
852	剬
853	妙
854	少
855	咨
856	坸
857	勦
858	著
859	冓
860	&CDP-8BB7;
861	冉
862	叜
863	宀
864	火
865	吿
866	牛
867	叏
868	&CDP-89B3;
869	博
870	俥
871	車
872	匘
873	&CDP-8CE8;
874	卸
875	?
876	?
877	卯
878	&CDP-8DAA;
879	仲
880	中
881	仹
882	丰
883	俨
884	严
885	蒍
886	刱
887	井
888	吢
889	心
890	壐
891	爾
892	壮
893	好
894	俩
895	两
896	喋
897	枼
898	伳
899	世
900	妥
901	爫
902	励
903	厉
904	坝
905	贝
906	刯
907	伓
908	喖
909	枯
910	伹
911	传
912	专
913	仗
914	丈
915	仩
916	仨
917	三
918	危
919	仃
920	啉
921	埐
922	夦
923	甚
924	共
925	匠
926	蓋
927	囆
928	蠆
929	仇
930	九
931	&CB08880;
932	他
933	呉
934	&CDP-89F5;
935	奀
936	咺
937	亿
938	喍
939	柴
940	作
941	乍
942	null
943	喻
944	刖
945	哬
946	可
947	垎
948	喳
949	查
950	仪
951	义
952	哉
953	?
954	?
955	仍
956	乃
957	夠
958	伪
959	为
960	侲
961	辰
962	埶
963	丸
964	勷
965	襄
966	傉
967	辱
968	儂
969	農
970	前
971	&CDP-8958;
972	&CDP-8BD2;
973	嚷
974	僻
975	厢
976	相
977	党
978	&GT-K05014;
979	和
980	唭
981	&CDP-8B72;
982	分
983	冼
984	垻
985	叀
986	?
987	?
988	呇
989	双
990	&GT-K00064;
991	墤
992	倈
993	來
994	&CDP-8BD3;
995	光
996	傤
997	载
998	壑
999	㕡
1000	啀
1001	圭
1002	墳
1003	放
1004	刌
1005	敄
1006	故
1007	哯
1008	見
1009	效
1010	圼
1011	嘾
1012	覃
1013	喓
1014	壕
1015	哂
1016	西
1017	啇
1018	&CDP-8C6C;
1019	壉
1020	null
1021	厓
1022	敞
1023	噵
1024	道
